"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",5061.69038172867
"2","member","Sunday",972.998139442173
"3","casual","Monday",4752.05043820423
"4","member","Monday",822.343801503291
"5","casual","Tuesday",4562.29626590064
"6","member","Tuesday",769.469759482475
"7","casual","Wednesday",4480.37243172955
"8","member","Wednesday",711.983790257759
"9","casual","Thursday",8453.17797677348
"10","member","Thursday",707.209274283704
"11","casual","Friday",6092.98365156621
"12","member","Friday",796.733788899701
"13","casual","Saturday",4951.57240406748
"14","member","Saturday",974.072963829433
